communication_id,timestamp,caller_phone_id,receiver_phone_id,duration_seconds,communication_type,source_record_id
COMM0034,2026-04-01T07:07:39.873Z,PH019,PH023,0,call,
COMM0035,2026-01-12T06:53:55.715Z,PH014,PH008,0,sms,
COMM0036,2026-03-12T13:16:33.038Z,PH033,PH031,749,call,
COMM0037,2026-04-08T17:50:04.465Z,PH013,PH017,100,call,
COMM0038,2026-05-05T20:45:21.199Z,PH026,PH032,447,call,
COMM0039,2026-01-24T23:03:24.296Z,PH018,PH022,511,call,
COMM0040,2026-01-24T05:05:26.160Z,PH013,PH015,617,call,
COMM0041,2026-02-26T04:47:59.278Z,PH029,PH007,0,sms,
COMM0042,2026-04-04T00:02:52.456Z,PH019,PH024,428,call,
COMM0043,2026-06-18T03:51:32.892Z,PH015,PH026,653,call,
COMM0044,2026-05-05T20:49:53.781Z,PH022,PH023,71,call,
COMM0045,2026-05-10T20:30:18.010Z,PH006,PH003,0,sms,
COMM0046,2026-05-06T15:24:48.426Z,PH029,PH001,0,sms,
COMM0047,2026-03-10T19:46:31.363Z,PH008,PH005,0,messaging_metadata,
COMM0048,2026-04-21T19:13:48.586Z,PH010,PH009,808,call,
COMM0049,2026-02-20T04:45:17.802Z,PH003,PH007,0,sms,
COMM0050,2026-05-03T08:10:46.540Z,PH030,PH028,0,messaging_metadata,
COMM0051,2026-03-20T08:01:09.579Z,PH039,PH036,0,messaging_metadata,
COMM0052,2026-05-15T07:10:31.141Z,PH012,PH010,855,call,
COMM0053,2026-04-19T21:38:27.087Z,PH024,PH023,0,messaging_metadata,
COMM0054,2026-04-05T11:18:54.537Z,PH003,PH002,345,call,
COMM0055,2026-01-13T05:01:20.260Z,PH022,PH026,0,sms,
COMM0056,2026-01-20T22:14:28.588Z,PH026,PH018,0,sms,
COMM0057,2026-01-14T05:08:47.782Z,PH039,PH040,0,sms,
COMM0058,2026-04-26T07:14:16.983Z,PH018,PH021,0,sms,
COMM0059,2026-05-15T21:27:57.492Z,PH020,PH019,0,messaging_metadata,
COMM0060,2026-05-18T05:22:17.791Z,PH026,PH033,0,sms,
COMM0061,2026-04-08T07:57:11.482Z,PH024,PH018,0,sms,
COMM0062,2026-03-25T08:05:10.632Z,PH012,PH015,0,sms,
COMM0063,2026-01-22T11:48:14.012Z,PH021,PH020,0,sms,
COMM0064,2026-04-17T14:48:20.171Z,PH008,PH005,0,sms,
COMM0065,2026-01-11T04:44:07.302Z,PH008,PH005,0,messaging_metadata,
COMM0066,2026-06-12T08:45:47.933Z,PH003,PH005,50,call,
COMM0067,2026-05-08T06:06:51.062Z,PH040,PH035,0,sms,
COMM0068,2026-03-13T19:52:59.284Z,PH025,PH026,810,call,
COMM0069,2026-01-17T00:43:44.331Z,PH007,PH002,840,call,
COMM0070,2026-04-10T02:12:39.759Z,PH023,PH018,189,call,
COMM0071,2026-03-18T21:30:55.280Z,PH008,PH001,0,call,
COMM0072,2026-02-28T02:37:29.481Z,PH018,PH028,35,call,
COMM0073,2026-04-29T07:16:48.412Z,PH009,PH006,485,call,
COMM0074,2026-02-10T01:52:10.362Z,PH009,PH003,381,call,
COMM0075,2026-04-17T17:54:44.360Z,PH016,PH011,0,sms,
COMM0076,2026-05-03T17:08:17.145Z,PH008,PH002,196,call,
COMM0077,2026-04-16T14:10:18.490Z,PH039,PH007,767,call,
COMM0078,2026-04-23T14:22:43.912Z,PH008,PH039,0,sms,
COMM0079,2026-02-20T10:07:02.664Z,PH016,PH015,0,sms,
COMM0080,2026-04-13T13:11:45.673Z,PH034,PH040,0,sms,
COMM0081,2026-02-07T17:58:26.457Z,PH040,PH034,0,call,
COMM0082,2026-03-21T16:19:14.757Z,PH033,PH034,0,sms,
COMM0083,2026-03-20T05:45:50.592Z,PH015,PH013,0,sms,
COMM0084,2026-01-31T12:51:33.726Z,PH013,PH014,644,call,
COMM0085,2026-06-20T19:22:04.107Z,PH033,PH040,0,messaging_metadata,
COMM0086,2026-04-15T16:13:25.755Z,PH032,PH027,0,sms,
COMM0087,2026-01-06T07:38:51.948Z,PH011,PH020,0,sms,
COMM0088,2026-02-03T09:56:45.805Z,PH027,PH002,62,call,
COMM0089,2026-01-28T16:43:33.575Z,PH022,PH036,696,call,
COMM0090,2026-06-11T14:55:21.891Z,PH033,PH036,198,call,
COMM0091,2026-05-21T00:51:05.631Z,PH010,PH013,0,messaging_metadata,
COMM0092,2026-03-12T02:21:08.732Z,PH001,PH024,755,call,
COMM0093,2026-06-25T07:33:42.407Z,PH033,PH037,0,messaging_metadata,
COMM0094,2026-06-05T00:44:20.601Z,PH025,PH029,0,sms,
COMM0095,2026-02-14T14:10:06.450Z,PH020,PH017,0,call,
COMM0096,2026-06-08T12:54:22.690Z,PH003,PH029,0,sms,
COMM0097,2026-03-25T02:43:31.754Z,PH007,PH005,80,call,
COMM0098,2026-03-16T13:16:14.935Z,PH008,PH015,0,sms,
COMM0099,2026-01-18T14:41:52.131Z,PH011,PH012,0,sms,
COMM0100,2026-01-25T10:54:42.038Z,PH033,PH040,142,call,
COMM0101,2026-01-14T05:32:25.920Z,PH003,PH001,511,call,
COMM0102,2026-04-03T17:36:46.994Z,PH027,PH028,575,call,
COMM0103,2026-05-26T23:35:35.651Z,PH013,PH014,0,messaging_metadata,
COMM0104,2026-03-20T03:42:42.008Z,PH034,PH035,0,sms,
COMM0105,2026-05-25T11:26:28.087Z,PH003,PH005,0,call,
COMM0106,2026-01-09T04:44:50.754Z,PH005,PH001,0,sms,
COMM0107,2026-04-19T23:02:03.141Z,PH012,PH002,0,sms,
COMM0108,2026-03-30T11:13:40.522Z,PH031,PH030,0,call,
COMM0109,2026-01-22T15:12:30.996Z,PH010,PH016,897,call,
COMM0110,2026-03-30T14:47:55.117Z,PH002,PH008,0,messaging_metadata,
COMM0111,2026-02-18T21:27:31.803Z,PH014,PH011,0,sms,
COMM0112,2026-03-29T02:03:33.193Z,PH015,PH014,0,sms,
COMM0113,2026-02-27T02:22:36.401Z,PH015,PH011,785,call,
COMM0114,2026-03-18T11:31:20.745Z,PH003,PH029,0,call,
COMM0115,2026-05-01T04:38:00.546Z,PH016,PH015,0,messaging_metadata,
COMM0116,2026-03-12T10:40:29.732Z,PH037,PH033,0,call,
COMM0117,2026-06-10T05:12:43.892Z,PH029,PH001,0,messaging_metadata,
COMM0118,2026-02-23T15:22:53.765Z,PH032,PH028,0,sms,
COMM0119,2026-05-21T02:58:42.362Z,PH035,PH040,0,sms,
COMM0120,2026-06-10T07:09:09.527Z,PH013,PH010,261,call,
COMM0121,2026-04-21T05:30:35.698Z,PH002,PH007,0,messaging_metadata,
COMM0122,2026-02-17T04:53:06.683Z,PH039,PH015,0,messaging_metadata,
COMM0123,2026-02-22T08:04:46.467Z,PH029,PH001,494,call,
COMM0124,2026-04-17T13:42:34.393Z,PH017,PH019,0,sms,
COMM0125,2026-05-22T10:47:09.881Z,PH030,PH031,0,call,
COMM0126,2026-01-24T05:54:32.188Z,PH031,PH030,0,call,
COMM0127,2026-04-18T05:59:42.489Z,PH009,PH012,564,call,
COMM0128,2026-02-03T21:46:06.306Z,PH040,PH036,820,call,
COMM0129,2026-02-05T01:00:26.261Z,PH022,PH020,0,call,
COMM0130,2026-01-19T07:54:24.155Z,PH007,PH008,0,messaging_metadata,
COMM0131,2026-02-25T19:56:27.005Z,PH009,PH026,663,call,
COMM0132,2026-01-19T02:17:44.082Z,PH039,PH033,0,sms,
COMM0133,2026-05-01T13:21:48.934Z,PH011,PH012,0,messaging_metadata,
COMM0134,2026-01-20T19:17:19.471Z,PH025,PH026,0,messaging_metadata,
COMM0135,2026-04-19T04:57:46.612Z,PH037,PH035,0,call,
COMM0136,2026-06-25T01:55:59.916Z,PH019,PH007,694,call,
COMM0137,2026-02-25T16:27:27.164Z,PH029,PH001,0,sms,
COMM0138,2026-02-22T10:54:28.831Z,PH019,PH020,0,messaging_metadata,
COMM0139,2026-04-20T10:52:53.650Z,PH034,PH003,0,sms,
COMM0140,2026-05-19T18:31:43.903Z,PH020,PH021,0,messaging_metadata,
COMM0141,2026-03-03T09:33:09.097Z,PH030,PH026,405,call,
COMM0142,2026-01-20T17:20:42.605Z,PH022,PH024,347,call,
COMM0143,2026-03-17T14:50:34.477Z,PH023,PH024,0,sms,
COMM0144,2026-06-12T00:28:46.268Z,PH009,PH013,0,sms,
COMM0145,2026-05-16T15:36:18.812Z,PH025,PH031,0,messaging_metadata,
COMM0146,2026-05-27T03:05:37.159Z,PH029,PH027,636,call,
COMM0147,2026-01-11T08:31:59.397Z,PH007,PH004,0,messaging_metadata,
COMM0148,2026-02-18T23:52:17.525Z,PH039,PH038,0,messaging_metadata,
COMM0149,2026-06-06T19:14:27.491Z,PH026,PH029,0,sms,
COMM0150,2026-04-03T09:57:35.045Z,PH032,PH026,0,messaging_metadata,
COMM0151,2026-04-11T14:20:26.206Z,PH016,PH014,639,call,
COMM0152,2026-02-02T18:39:11.600Z,PH037,PH012,0,messaging_metadata,
COMM0153,2026-03-12T23:08:22.990Z,PH031,PH028,0,sms,
COMM0154,2026-01-22T06:24:22.506Z,PH028,PH004,0,messaging_metadata,
COMM0155,2026-02-21T17:11:05.212Z,PH038,PH033,0,sms,
COMM0156,2026-06-02T19:24:39.646Z,PH017,PH039,0,sms,
COMM0157,2026-03-28T10:38:00.459Z,PH021,PH023,0,sms,
COMM0158,2026-06-01T19:45:57.517Z,PH022,PH021,0,messaging_metadata,
COMM0159,2026-06-18T17:22:04.422Z,PH017,PH020,0,messaging_metadata,
COMM0160,2026-01-24T20:11:57.220Z,PH019,PH023,0,sms,
COMM0161,2026-03-22T04:19:38.853Z,PH038,PH037,0,sms,
COMM0162,2026-01-21T09:27:26.414Z,PH001,PH007,0,messaging_metadata,
COMM0163,2026-06-16T14:32:13.794Z,PH024,PH018,190,call,
COMM0164,2026-03-06T15:52:23.984Z,PH010,PH013,0,sms,
COMM0165,2026-03-23T07:24:59.853Z,PH029,PH025,29,call,
COMM0166,2026-05-11T18:12:58.517Z,PH014,PH011,0,sms,
COMM0167,2026-03-01T11:01:14.569Z,PH016,PH013,0,sms,
COMM0168,2026-04-18T00:09:46.436Z,PH040,PH038,0,sms,
COMM0169,2026-03-10T16:16:48.644Z,PH013,PH010,0,call,
COMM0170,2026-03-13T06:59:49.165Z,PH017,PH024,0,call,
COMM0171,2026-03-11T19:10:46.117Z,PH020,PH019,0,sms,
COMM0172,2026-01-11T06:35:46.734Z,PH033,PH040,0,sms,
COMM0173,2026-01-29T08:10:52.518Z,PH012,PH016,565,call,
COMM0174,2026-02-14T07:29:09.226Z,PH020,PH013,0,call,
COMM0175,2026-05-08T00:18:31.531Z,PH029,PH018,0,messaging_metadata,
COMM0176,2026-03-15T21:58:43.779Z,PH012,PH032,244,call,
COMM0177,2026-01-06T02:49:09.967Z,PH017,PH024,0,messaging_metadata,
COMM0178,2026-01-28T12:54:29.810Z,PH027,PH004,0,sms,
COMM0179,2026-02-28T17:42:52.091Z,PH026,PH030,0,sms,
COMM0180,2026-02-10T23:45:23.496Z,PH001,PH007,0,sms,
COMM0181,2026-01-22T20:49:25.246Z,PH026,PH028,0,messaging_metadata,
COMM0182,2026-04-12T18:39:52.515Z,PH008,PH003,0,sms,
COMM0183,2026-03-12T22:49:37.846Z,PH029,PH005,451,call,
COMM0184,2026-05-02T21:23:17.987Z,PH023,PH018,0,messaging_metadata,
COMM0185,2026-01-15T03:05:18.338Z,PH033,PH002,0,sms,
COMM0186,2026-06-15T22:12:44.136Z,PH008,PH001,0,messaging_metadata,
COMM0187,2026-02-20T18:57:49.112Z,PH001,PH006,0,call,
COMM0188,2026-01-11T02:55:11.533Z,PH016,PH011,615,call,
COMM0189,2026-06-05T12:11:47.056Z,PH014,PH012,584,call,
COMM0190,2026-05-20T09:01:15.337Z,PH008,PH032,325,call,
COMM0191,2026-01-23T23:36:39.973Z,PH003,PH001,901,call,
COMM0192,2026-04-10T20:06:58.416Z,PH014,PH011,0,messaging_metadata,
COMM0193,2026-03-17T17:53:44.595Z,PH010,PH038,0,sms,
COMM0194,2026-05-03T06:07:24.605Z,PH029,PH027,520,call,
COMM0195,2026-01-17T01:02:16.031Z,PH031,PH032,0,call,
COMM0196,2026-01-16T22:49:37.837Z,PH035,PH021,576,call,
COMM0197,2026-06-21T02:43:58.347Z,PH029,PH028,275,call,
COMM0198,2026-06-16T16:14:58.911Z,PH016,PH013,0,sms,
COMM0199,2026-01-08T11:32:09.913Z,PH026,PH032,0,sms,
COMM0200,2026-06-11T07:59:18.900Z,PH035,PH039,0,sms,
COMM0201,2026-02-05T23:22:08.060Z,PH021,PH019,0,call,
COMM0202,2026-04-20T22:40:07.042Z,PH031,PH027,0,call,
COMM0203,2026-01-22T17:09:07.455Z,PH020,PH022,0,messaging_metadata,
COMM0204,2026-01-21T07:15:26.332Z,PH020,PH017,0,messaging_metadata,
COMM0205,2026-04-23T12:11:26.325Z,PH031,PH028,238,call,
COMM0206,2026-04-29T09:05:44.887Z,PH016,PH013,232,call,
COMM0207,2026-03-04T13:23:23.524Z,PH033,PH032,0,call,
COMM0208,2026-06-13T11:09:57.435Z,PH026,PH031,578,call,
COMM0209,2026-05-19T17:41:22.677Z,PH021,PH022,0,call,
COMM0210,2026-06-05T13:56:03.278Z,PH010,PH015,0,sms,
COMM0211,2026-04-04T09:41:30.948Z,PH031,PH025,795,call,
COMM0212,2026-03-23T02:19:21.354Z,PH010,PH035,523,call,
COMM0213,2026-05-19T15:45:34.115Z,PH011,PH036,0,sms,
COMM0214,2026-05-22T01:33:59.474Z,PH018,PH023,0,messaging_metadata,
COMM0215,2026-01-05T13:58:19.098Z,PH019,PH017,469,call,
COMM0216,2026-05-22T10:42:39.857Z,PH030,PH027,0,sms,
COMM0217,2026-02-18T06:02:38.977Z,PH015,PH010,0,messaging_metadata,
COMM0218,2026-04-18T06:31:29.672Z,PH032,PH027,0,sms,
COMM0219,2026-01-27T18:27:54.794Z,PH026,PH035,0,sms,
COMM0220,2026-04-29T02:19:29.084Z,PH024,PH017,0,sms,
COMM0221,2026-01-27T06:08:05.112Z,PH006,PH002,297,call,
COMM0222,2026-06-10T06:04:25.956Z,PH011,PH015,0,messaging_metadata,
COMM0223,2026-03-26T05:48:01.488Z,PH029,PH007,610,call,
COMM0224,2026-02-09T15:49:13.328Z,PH024,PH020,0,messaging_metadata,
COMM0225,2026-01-10T07:04:04.277Z,PH004,PH026,536,call,
COMM0226,2026-04-06T13:49:02.605Z,PH029,PH038,0,messaging_metadata,
COMM0227,2026-02-23T14:55:58.272Z,PH005,PH001,0,messaging_metadata,
COMM0228,2026-01-19T20:23:07.556Z,PH035,PH033,0,sms,
COMM0229,2026-04-20T08:45:50.978Z,PH008,PH007,603,call,
COMM0230,2026-03-20T06:29:13.303Z,PH009,PH010,581,call,
COMM0231,2026-03-09T14:18:20.474Z,PH016,PH023,903,call,
COMM0232,2026-06-12T07:54:04.449Z,PH009,PH029,0,messaging_metadata,
COMM0233,2026-01-31T02:35:18.427Z,PH021,PH005,0,messaging_metadata,
COMM0234,2026-04-10T14:00:09.656Z,PH024,PH022,563,call,
COMM0235,2026-04-07T10:19:21.209Z,PH027,PH025,0,sms,
COMM0236,2026-05-09T07:36:00.821Z,PH016,PH024,0,call,
COMM0237,2026-01-18T13:57:06.970Z,PH033,PH034,406,call,
COMM0238,2026-04-10T14:55:17.434Z,PH019,PH022,91,call,
COMM0239,2026-06-17T23:06:56.238Z,PH001,PH016,0,sms,
COMM0240,2026-02-19T22:53:05.055Z,PH031,PH028,324,call,
COMM0241,2026-01-12T21:27:52.254Z,PH004,PH008,0,messaging_metadata,
COMM0242,2026-01-10T16:34:36.072Z,PH019,PH020,0,messaging_metadata,
COMM0243,2026-02-22T15:13:13.555Z,PH028,PH033,0,messaging_metadata,
COMM0244,2026-03-18T03:47:11.771Z,PH014,PH003,583,call,
COMM0245,2026-05-21T13:37:41.640Z,PH033,PH035,0,messaging_metadata,
COMM0246,2026-02-14T09:40:17.264Z,PH022,PH019,0,call,
COMM0247,2026-03-16T23:04:55.203Z,PH037,PH035,0,sms,
COMM0248,2026-04-12T09:52:10.128Z,PH025,PH030,0,messaging_metadata,
COMM0249,2026-01-21T21:59:09.322Z,PH040,PH038,0,messaging_metadata,
COMM0250,2026-04-01T03:48:26.215Z,PH001,PH007,230,call,
COMM0251,2026-02-28T05:21:02.478Z,PH039,PH034,0,call,
COMM0252,2026-01-15T07:24:46.378Z,PH039,PH016,0,sms,
COMM0253,2026-04-21T14:28:09.171Z,PH036,PH037,0,messaging_metadata,
COMM0254,2026-04-22T23:14:29.653Z,PH030,PH026,304,call,
COMM0255,2026-04-28T20:23:57.624Z,PH038,PH035,566,call,
COMM0256,2026-01-16T17:05:32.335Z,PH011,PH017,316,call,
COMM0257,2026-05-25T06:17:56.553Z,PH018,PH024,0,sms,
COMM0258,2026-03-15T14:33:10.504Z,PH032,PH029,716,call,
COMM0259,2026-06-13T06:56:05.415Z,PH036,PH038,722,call,
COMM0260,2026-01-02T18:33:24.826Z,PH014,PH013,0,sms,
