event_id,person_id,location_id,timestamp,event_type,source_record_id
PLE049,P023,LOC07,2026-01-08T13:38:00Z,visited,
PLE050,P023,LOC08,2026-05-25T18:44:00Z,associated,
PLE051,P024,LOC18,2026-06-13T11:19:00Z,observed,
PLE052,P024,LOC18,2026-05-17T14:36:00Z,observed,
PLE053,P025,LOC09,2026-01-03T08:48:00Z,observed,
PLE054,P025,LOC09,2026-03-08T13:25:00Z,visited,
PLE055,P026,LOC08,2026-03-03T09:05:00Z,observed,
PLE056,P026,LOC07,2026-06-06T11:18:00Z,exited,
PLE057,P027,LOC08,2026-01-06T16:34:00Z,visited,
PLE058,P028,LOC12,2026-02-20T11:50:00Z,observed,
PLE059,P028,LOC10,2026-03-01T14:48:00Z,visited,
PLE060,P028,LOC10,2026-01-04T18:43:00Z,exited,
PLE061,P029,LOC11,2026-05-16T08:51:00Z,entered,
PLE062,P030,LOC11,2026-02-10T10:42:00Z,exited,
PLE063,P030,LOC10,2026-05-26T10:06:00Z,associated,
PLE064,P030,LOC10,2026-03-22T18:03:00Z,entered,
PLE065,P031,LOC10,2026-01-21T09:58:00Z,entered,
PLE066,P031,LOC10,2026-05-09T14:46:00Z,visited,
PLE067,P031,LOC12,2026-02-22T09:39:00Z,entered,
PLE068,P032,LOC11,2026-04-14T14:27:00Z,associated,
PLE069,P032,LOC11,2026-04-05T14:27:00Z,entered,
PLE070,P032,LOC11,2026-05-26T13:27:00Z,visited,
PLE071,P033,LOC11,2026-05-10T19:16:00Z,exited,
PLE072,P033,LOC10,2026-05-27T14:27:00Z,associated,
PLE073,P034,LOC10,2026-02-23T10:10:00Z,observed,
PLE074,P035,LOC10,2026-05-17T09:21:00Z,exited,
PLE075,P036,LOC11,2026-03-20T17:18:00Z,observed,
PLE076,P036,LOC11,2026-05-13T19:57:00Z,associated,
PLE077,P036,LOC10,2026-02-03T17:18:00Z,visited,
PLE078,P037,LOC13,2026-05-11T09:12:00Z,entered,
PLE079,P038,LOC14,2026-04-23T16:36:00Z,observed,
PLE080,P038,LOC13,2026-06-25T08:15:00Z,visited,
PLE081,P039,LOC15,2026-01-01T17:21:00Z,observed,
PLE082,P039,LOC15,2026-06-10T08:42:00Z,associated,
PLE083,P040,LOC13,2026-04-02T16:01:00Z,exited,
PLE084,P040,LOC15,2026-02-26T16:10:00Z,exited,
PLE085,P041,LOC14,2026-04-09T15:37:00Z,observed,
PLE086,P042,LOC13,2026-06-23T19:16:00Z,exited,
PLE087,P043,LOC14,2026-03-13T08:26:00Z,associated,
PLE088,P043,LOC13,2026-02-25T11:11:00Z,entered,
PLE089,P043,LOC15,2026-03-03T11:43:00Z,exited,
PLE090,P044,LOC15,2026-06-02T11:46:00Z,visited,
PLE091,P044,LOC15,2026-04-06T16:59:00Z,associated,
PLE092,P044,LOC14,2026-03-11T13:31:00Z,visited,
PLE093,P045,LOC13,2026-05-12T19:19:00Z,entered,
